ingredient,recommendation
active yeast,neutral
allspice,neutral
almond extract,neutral
almond,preferred
apple juice,neutral
apple,preferred
apricot,preferred
artichoke heart,neutral
asparagus spear,preferred
asparagus,preferred
avocado,preferred
baby carrot,preferred
baby spinach,preferred
bacon,exclude
baking potato,neutral
baking powder,neutral
baking soda,neutral
balsamic vinegar,neutral
banana,preferred
barbecue sauce,neutral
basil leaf,preferred
basil,preferred
basmati rice,neutral
bay leaf,neutral
bean sprout,preferred
bean,preferred
beef bouillon cube,limit
beef bouillon,limit
beef brisket,limit
beef broth,limit
beef stock,limit
beef tenderloin,limit
beef,limit
beer,limit
beet,neutral
bell pepper,preferred
black bean,preferred
black olive,preferred
black pepper,neutral
black peppercorn,neutral
blueberry,preferred
brandy,limit
bread crumb,neutral
bread flour,neutral
bread,neutral
breadcrumb,neutral
broccoli floret,preferred
broccoli,preferred
brown rice,neutral
brown sugar,neutral
butter,limit
buttermilk,limit
butternut squash,preferred
button mushroom,preferred
cabbage,preferred
cake flour,neutral
canola oil,neutral
caper,neutral
caraway seed,neutral
cardamom powder,neutral
cardamom seed,neutral
cardamom,neutral
carrot,preferred
cashew nut,preferred
cashew,preferred
caster sugar,neutral
catsup,neutral
cauliflower,preferred
cayenne pepper,neutral
cayenne,neutral
celery rib,preferred
celery salt,neutral
celery seed,neutral
celery,preferred
cheddar cheese,limit
cheese,limit
cherry tomato,preferred
chick pea,preferred
chicken bouillon cube,neutral
chicken bouillon,neutral
chicken breast half,preferred
chicken breast,preferred
chicken broth,neutral
chicken stock,neutral
chicken thigh,preferred
chicken,preferred
chickpea,preferred
chili powder,neutral
chili sauce,neutral
chive,neutral
chocolate chip,neutral
chocolate,neutral
chutney,neutral
cider vinegar,neutral
cilantro leaf,neutral
cilantro,neutral
cinnamon,neutral
clove,neutral
cocoa powder,neutral
cocoa,neutral
coconut milk,neutral
coconut oil,neutral
coconut,preferred
cod,neutral
coffee,neutral
cold water,neutral
confectioner ' sugar,neutral
confectioner sugar,neutral
cooking oil,neutral
cooking spray,neutral
cooking wine,neutral
coriander leaf,preferred
coriander seed,neutral
coriander,preferred
corn kernel,neutral
corn oil,neutral
corn syrup,neutral
corn tortilla,neutral
corn,preferred
cornflour,neutral
cornmeal,neutral
cornstarch,neutral
cottage cheese,neutral
couscous,neutral
crabmeat,neutral
cream cheese,limit
cream chicken soup,exclude
cream mushroom soup,exclude
cream tartar,neutral
cream,limit
creme fraiche,limit
crisco,limit
cucumber,preferred
cumin powder,neutral
cumin seed,neutral
cumin,neutral
curry powder,neutral
dark brown sugar,neutral
dark chocolate,neutral
dark rum,limit
dark soy sauce,neutral
date,preferred
